/Users/sundri/Desktop/CS5330/Project2/olympus/pic.1016.jpg,0.0000,17255.0000,23262.0000
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0986.jpg,0.0000,17255.0000,23262.0000
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0641.jpg,0.0000,17255.0000,23262.0000
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.1016.jpg,0.0000,17255.0000,23262.0000,37481.0000
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0986.jpg,0.0000,17255.0000,23262.0000,37481.0000
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0641.jpg,0.0000,17255.0000,23262.0000,37481.0000
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0547.jpg,0.0000,17255.0000,23262.0000,37481.0000
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.1016.jpg,0.0000,17255.0000,23262.0000,37481.0000,62516.0000
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0986.jpg,0.0000,17255.0000,23262.0000,37481.0000,62516.0000
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0641.jpg,0.0000,17255.0000,23262.0000,37481.0000,62516.0000
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0547.jpg,0.0000,17255.0000,23262.0000,37481.0000,62516.0000
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.1013.jpg,0.0000,17255.0000,23262.0000,37481.0000,62516.0000
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.1016.jpg,0.0000,17255.0000,23262.0000,37481.0000,62516.0000
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0986.jpg,0.0000,17255.0000,23262.0000,37481.0000,62516.0000
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0641.jpg,0.0000,17255.0000,23262.0000,37481.0000,62516.0000
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0547.jpg,0.0000,17255.0000,23262.0000,37481.0000,62516.0000
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.1013.jpg,0.0000,17255.0000,23262.0000,37481.0000,62516.0000
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0015.jpg,0.0008,0.0018,0.0023,0.0024,0.0034
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0021.jpg,0.0008,0.0018,0.0023,0.0024,0.0034
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0048.jpg,0.0008,0.0018,0.0023,0.0024,0.0034
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0503.jpg,0.0008,0.0018,0.0023,0.0024,0.0034
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0023.jpg,0.0008,0.0018,0.0023,0.0024,0.0034
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0015.jpg,0.0008,0.0018,0.0023,0.0024,0.0034
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0021.jpg,0.0008,0.0018,0.0023,0.0024,0.0034
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0048.jpg,0.0008,0.0018,0.0023,0.0024,0.0034
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0503.jpg,0.0008,0.0018,0.0023,0.0024,0.0034
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0023.jpg,0.0008,0.0018,0.0023,0.0024,0.0034
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0164.jpg,0.9994,0.6633,0.5858,0.5425,0.5329
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0080.jpg,0.9994,0.6633,0.5858,0.5425,0.5329
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0461.jpg,0.9994,0.6633,0.5858,0.5425,0.5329
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0898.jpg,0.9994,0.6633,0.5858,0.5425,0.5329
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0426.jpg,0.9994,0.6633,0.5858,0.5425,0.5329
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0164.jpg,0.9999,0.6077,0.4983,0.4727,0.4593
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0080.jpg,0.9999,0.6077,0.4983,0.4727,0.4593
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0110.jpg,0.9999,0.6077,0.4983,0.4727,0.4593
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0166.jpg,0.9999,0.6077,0.4983,0.4727,0.4593
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0898.jpg,0.9999,0.6077,0.4983,0.4727,0.4593
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0164.jpg,1.0001,0.5569,0.4757,0.4402,0.4347
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0080.jpg,1.0001,0.5569,0.4757,0.4402,0.4347
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0110.jpg,1.0001,0.5569,0.4757,0.4402,0.4347
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0426.jpg,1.0001,0.5569,0.4757,0.4402,0.4347
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0166.jpg,1.0001,0.5569,0.4757,0.4402,0.4347
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0164.jpg,0.9989,0.6905,0.5968,0.5612,0.5366
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0080.jpg,0.9989,0.6905,0.5968,0.5612,0.5366
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.1032.jpg,0.9989,0.6905,0.5968,0.5612,0.5366
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0898.jpg,0.9989,0.6905,0.5968,0.5612,0.5366
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0110.jpg,0.9989,0.6905,0.5968,0.5612,0.5366
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0274.jpg,1.0003,0.7567,0.7359,0.7061,0.6986
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0409.jpg,1.0003,0.7567,0.7359,0.7061,0.6986
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0825.jpg,1.0003,0.7567,0.7359,0.7061,0.6986
